native,quick,merge,bubble,insertion,selection,countingObj,gnome,shaker,lodash
1.23,1.146,2.401,13.491,5.662,7.601,0.361,9.924,8.512,4.578
1.45,1.543,3.372,13.804,6.286,7.029,0.271,9.493,8.317,3.701
1.477,1.61,2.123,13.788,28.871,11.073,1.767,9.927,11.779,5.452
1.14,1.606,2.337,13.042,5.3,7.54,0.298,9.569,8.527,4.213
1.065,1.414,2.052,14.168,5.481,6.854,0.389,10.404,8.476,4.718
1.324,1.682,5.379,13.675,5.544,7.104,0.605,9.401,8.759,4.688
1.165,1.466,2.389,13.397,5.244,8.384,0.287,9.461,8.86,3.774
1.76,2.371,3.62,14.776,5.493,6.919,0.291,9.719,8.443,4.756
1.142,2.176,2.13,14.857,5.114,7.289,0.276,9.775,8.486,4.573
1.11,1.961,5.881,12.734,5.118,6.937,0.285,9.211,8.623,3.798
1.128,1.498,3.243,15.465,5.897,7.567,0.318,9.645,8.533,4.444
1.512,1.812,2.138,13.472,5.111,7.229,0.275,9.328,8.724,4.218
1.127,1.863,2.331,13.228,5.211,7.499,0.286,9.501,8.581,3.431
1.559,1.806,2.05,13.458,5.856,8.414,0.28,9.774,8.607,3.767
1.158,1.884,2.483,13.486,5.45,7.002,0.286,9.378,8.568,4.364
1.448,2.285,1.795,13.281,5.328,7.338,0.274,10.206,8.579,4.139
1.183,1.827,3.474,13.95,5.322,7.046,0.279,9.489,8.472,3.266
1.125,1.9,2.052,13.613,5.233,7.438,0.283,9.241,8.972,3.386
4.224,1.77,2.804,13.537,5.225,7.184,0.298,9.765,8.413,3.926
1.146,1.878,2.185,16.365,5.679,6.969,0.291,9.343,8.409,4.516
1.149,3.654,2.05,13.676,5.393,7.483,0.28,9.222,8.516,4.319
1.543,1.699,2.446,14.224,5.197,7.687,0.295,9.869,8.507,4.125
1.077,1.697,2.376,16.834,6.973,12.112,0.297,9.414,8.272,4.189
1.434,1.509,2.252,14.138,5.786,6.897,0.303,9.946,8.774,3.927
1.452,1.436,1.858,13.302,5.334,7.481,0.339,10.175,9.343,3.312
1.089,2.435,2.834,13.329,5.386,7.096,0.291,9.363,8.48,4.954
1.164,1.619,2.18,14.54,5.556,6.822,0.281,9.311,13.341,3.508
1.091,1.951,2.299,13.444,5.561,7.236,0.296,9.391,8.455,3.446
1.094,1.518,2.046,13.2,5.366,7.022,0.281,9.447,8.426,3.206
1.485,1.908,1.873,13.803,5.314,8.258,0.269,9.431,8.47,4.664
1.495,1.647,2.479,13.344,5.737,6.903,0.344,9.502,8.533,4.056
1.149,1.917,1.909,13.747,5.804,7.278,0.277,10.839,8.304,5.305
1.096,1.817,3.15,13.221,5.587,7.071,0.302,9.527,8.509,4.685
1.062,2.095,2.276,13.812,5.319,7.454,0.284,9.556,8.707,4.556
1.206,1.566,2.046,13.328,5.35,6.864,0.285,9.269,8.459,4.818
1.093,1.52,2.016,13.268,15.087,7.033,0.281,9.617,8.418,3.707
