native,quick,counting,counting2
64.935,17.777,26.181,18.042
62.723,17.197,20.185,18.015
64.391,19.619,22.327,16.768
58.798,24.751,12.336,18.42
91.613,18.81,23.809,20.681
78.915,21.87,11.985,16.308
62.071,20.472,25.179,17.604
56.262,18.608,11.928,16.004
67.594,17.802,33.4,17.873
72.715,18.365,15.739,17.411
64.592,18.328,11.991,17.061
56.773,19.856,37.84,17.296
60.72,17.519,24.008,17.409
58.991,17.397,24.791,16.77
58.151,17.424,25.596,17.282
69.03,22.108,25.035,21.75
60.798,18.666,25.687,16.98
65.211,17.744,28.811,17.614
63.727,18.46,13.242,16.833
61.45,17.439,29.21,17.206
61.36,18.071,27.85,16.76
58.34,18.083,11.894,17.647
60.229,20.442,22.886,17.438
59.431,18.099,12.661,16.879
60.926,18.923,11.928,16.993
63.808,18.739,20.646,17.508
61.572,18.602,18.296,17.038
58.492,26.703,26.487,18.589
59.495,20.811,21.032,18.267
57.889,17.999,25.39,17.447
58.845,18.652,25.949,17.912
62.028,21.373,22.706,17.094
59.107,17.956,28.169,17.007
63.073,18.198,19.227,17.266
64.142,19.05,13.328,17.013
62.529,18.595,15.432,16.757
68.315,20.502,23.382,17.098
63.021,18.53,12.143,17.209
61.156,18.546,27.957,16.97
66.49,20.995,24.389,17.229
65.232,18.099,26.187,19.533
61.989,18.252,27.123,17.555
64.433,17.528,24.08,16.83
60.401,18.452,27.423,18.077
61.107,17.629,26.849,17.223
59.819,17.306,12.338,17.193
62.317,18.064,23.653,17.318
64.983,17.411,15.116,18.928
55.851,18.26,27.451,20.808
65.667,17.825,26.028,19.812
62.776,17.452,22.321,17.249
66.384,17.986,22.103,18.153
58.995,18.045,23.471,18.762
60.929,18.124,11.993,17.47
60.717,17.89,32.301,18.25
55.538,18.918,26.026,17.633
60.79,17.879,28.214,18.272
63.099,18.029,29.643,16.546
59.862,17.738,14.68,16.244
63.187,18.42,22.596,18.197
57.314,17.71,23.342,18.65
75.983,17.789,11.763,17.005
58.485,18.148,24.286,18.241
60.127,18.763,12.661,17.002
63.951,19.247,21.773,17.409
65.401,17.674,12.143,16.045
60.623,17.673,23.237,17.125
59.413,18.389,28.693,17.617
66.459,18.659,12.084,18.122
65.663,19.987,11.812,16.515
63.582,19.202,25.05,18.228
67.24,18.811,22.591,17.596
68.916,17.837,21.036,16.523
67.669,17.807,29.346,17.037
61.057,17.672,17.288,16.809
60.116,18.208,16.379,17.957
62.323,18.425,20.21,18.721
61.494,17.468,27.888,19.278
58.872,17.622,19.268,16.975
61.917,18.522,20.783,19.901
72.402,20.536,14.496,17.558
61.874,18.117,29.632,54.407
60.926,18.176,17.644,17.94
58.202,17.453,24.006,17.541
61.423,18.498,30.326,16.674
62.438,18.06,23.762,18.282
65.808,18.527,24.262,17.69
69.171,17.954,20.919,16.705
60.651,17.9,21.999,17
61.12,18.597,26.7,17.132
59.776,17.958,29.026,20.625
59.728,17.625,22.426,17.044
62.206,17.9,31.445,17.155
61.393,18.181,12.213,16.994
60.043,17.359,25.566,16.705
60.416,17.367,14.235,17.198
59.583,18.69,22.908,18.128
63.107,18.767,21.668,17.36
64.719,17.93,12.23,18.309
61.012,17.581,23.068,17.309
