native,quick,merge,bubble,insertion,selection,countingObj,gnome,shaker,lodash
9.217,6.35,13.134,1097.141,247.744,415.393,4.739,553.321,415.787,18.522
10.824,7.27,11.122,1232.585,265.186,423.005,4.877,555.033,415.547,23.701
8.737,6.235,11.03,1113.742,259.026,403.884,5.856,552.635,406.486,15.451
8.786,5.19,12.651,1112.22,289.658,406.45,3.427,549.745,413.097,18.476
10.134,6.884,13.236,1196.507,255.148,421.288,4.748,545.254,422.772,17.501
8.829,5.427,11.715,1099.743,245.74,418.121,4.785,547.853,413.709,16.841
9.318,6.447,11.35,1269.739,266.038,417.032,5.457,560.544,409.922,18.187
10.091,7.201,12.502,1094.793,258.613,415.328,4.797,543.454,413.038,15.337
8.79,6.108,12.567,1263.335,262.275,409.021,5.659,544.878,415.903,20
9.083,4.88,11.188,1098.386,259.06,415.51,4.778,547.028,412.845,16.992
12.323,6.936,27.194,1354.012,260.887,404.984,5.587,543.731,417.653,16.809
8.878,6.122,10.95,1092.145,255.115,409.368,4.822,555.574,411.798,16.827
9.54,5.205,12.984,1098.481,269.996,440.875,5.129,564.22,430.5,20.531
9.454,6.323,11.164,1078.206,262.443,414.148,5.411,548.317,409.924,14.973
9.471,4.912,10.99,1122.619,245.871,417.784,4.934,547.052,411.011,19.653
10.738,6.541,14.469,1094.579,255.229,418.267,6.809,577.997,555.202,17.968
8.748,6.319,12.456,1109.706,255.954,411.048,5.292,557.005,437.174,14.58
8.874,6.1,10.988,1153.89,250.222,411.162,6.4,551.772,407.698,14.897
9.213,6.884,12.974,1097.685,249.815,412.073,3.278,556.752,413.897,16.809
10.118,5.208,11.17,1083.791,261.283,410.317,4.725,549.481,409.758,17.909
9.698,6.734,12.336,1100.282,260.112,418.625,4.875,551.622,407.555,18.724
15.385,7.525,14.179,1098.852,270.807,420.019,3.397,547.521,415.239,17.541
10.052,6.297,12.635,1104.694,261.705,419.253,6.149,559.902,407.286,18.882
9.303,5.609,11.379,1090.674,251.331,407.46,3.426,548.461,405.532,18.679
10.502,7.341,11.548,1137.597,265.37,419.511,4.708,552.06,415.365,18.066
9.819,6.196,11.767,1105.859,248.449,407.34,4.992,540.76,413.166,17.592
8.855,5.324,12.751,1311.667,264.787,415.345,5.157,550.588,409.891,17.512
8.797,4.991,13.276,1093.083,250.499,417.69,4.907,553.288,408.851,19.973
10.125,9.251,15.819,1169.532,446.261,574.275,5.55,597.432,443.237,20.915
8.81,6.709,11.291,1090.864,249.95,424.595,5.86,570.025,435.703,14.903
9.331,5.171,11.173,1114.887,251.184,427.049,6.086,551.955,408.991,18.002
9.57,6.465,11.351,1111.645,246.335,411.937,5.117,595.223,432.148,18.234
9.631,6.226,12.722,1113.371,269.15,423.983,4.844,557.59,426.682,17.814
9.256,6.662,11.269,1096.14,261.828,407.296,4.739,546.44,784.861,16.745
9.348,6.213,11.338,1133.62,262.546,407.668,4.806,551.129,408.544,17.064
9.906,6.493,11.865,1372.668,250.02,409.231,4.84,546.7,418.056,19.802
8.765,6.188,12.037,1100.553,261.233,427.444,4.848,557.442,420.822,18.143
9.129,7.822,11.114,1090.577,262.039,410.668,4.923,558.559,411.466,19.38
10.009,6.557,23.168,1327.325,254.77,411.743,5.623,550.064,423.149,22.246
10.671,5.698,12.643,1133.029,258.315,440.774,4.884,546.388,414.543,15.316
9.178,6.393,12.705,1094.898,327.477,423.859,4.832,551.504,419.851,15.295
9.544,5.192,12.35,1121.635,249.636,443.511,5.184,558.828,414.845,15.666
12.453,6.794,10.947,1110.112,268.721,424.26,5.842,555.514,417.182,16.38
8.733,6.224,11.945,1078.409,260.83,418.879,4.836,544.674,409.517,17.105
9.023,5.933,10.836,1100.933,252.726,418.059,5.018,548.099,410.387,19.093
9.038,5.985,11.428,1407.945,260.898,405.916,4.966,544.269,409.829,17.323
9.201,6.081,11.739,1080.265,260.42,411.792,4.735,567.025,410.491,20.323
9.114,6.461,11.402,1488.805,248.813,408.825,4.831,556.203,412.819,17.804
8.729,5.063,11.049,1091.156,259.403,411.811,5.69,600.064,422.159,17.001
9.849,5.34,11.325,1102.684,244.61,445.715,4.951,547.802,408.197,21.389
10.758,7.425,11.705,1438.69,292.768,467.516,5.492,567.547,430.269,15.983
9.324,5.369,11.898,1099.469,264.49,414.337,5.321,563.767,412.701,20.01
19.705,205.459,26.751,1371.689,263.244,420.676,5.541,553.429,406.321,16.931
9.497,5.302,11.078,1093.016,259.623,426.095,4.802,553.242,412.87,18.152
9.053,5.314,24.519,1628.749,253.584,425.153,4.751,552.664,415.886,16.234
10.167,5.756,11.534,1105.941,275.257,424.359,4.828,572.911,426.609,16.85
9.081,5.41,13.868,1124.921,266.432,444.446,4.811,555.741,470.835,18.036
10.202,5.49,12.314,1109.429,251.412,414.281,4.828,556.042,422.077,19.625
9.688,6.154,13.279,1124.485,263.36,416.115,4.756,550.966,419.119,14.801
8.954,7.206,11.284,1098.095,247.475,422.614,6.232,551.695,408.257,17.273
8.79,13.956,11.109,1119.156,267.14,422.652,4.719,558.215,408.304,17.098
9,6.457,11.048,1116.616,258.406,423.159,5.617,555.844,413.9,16.335
8.807,5.197,10.857,1106.726,268.864,421.112,5.017,546.929,421.414,18.059
10.91,7.752,11.05,1100.892,250.302,414.658,7.148,552.16,415.193,18.44
9.444,7.236,13.566,1083.77,257.797,407.57,4.925,550.529,414.318,18.505
9.445,5.374,12.34,1100.489,259.866,413.294,4.773,543.409,418.285,15.596
9.333,8.024,10.944,1096.709,252.43,424.011,5.04,552.79,421.085,16.128
