native,quick,merge,bubble,insertion,selection,counting,counting2,heap,radix,gnome,shell,shaker,lodash
1.461,0.735,1.967,4.662,2.177,2.651,0.344,0.262,4.487,1.171,3.18,1.874,4.087,6.01
1.381,0.984,1.821,6.742,2.204,2.355,0.248,0.212,2.146,1.087,3.172,2.012,4.396,4.759
1.337,0.879,2.455,6.415,1.964,2.778,0.243,0.189,2.181,0.99,3.177,1.672,3.754,4.309
1.296,0.868,7.545,5.262,2.03,2.729,0.24,0.191,3.552,0.972,3.019,1.842,4.008,5.302
1.332,0.908,1.905,4.876,2.084,2.595,0.296,0.202,2.722,0.986,3.167,1.736,3.737,4.534
1.308,0.877,6.766,4.735,2.057,2.813,0.251,0.192,2.297,1.022,3.824,1.732,3.857,4.858
0.977,0.912,1.797,5.114,1.992,2.704,0.249,0.215,2.108,1.021,3.204,1.738,3.65,4.999
1.281,0.906,1.813,7.019,2.053,3.538,0.25,0.192,2.084,1.008,3.046,1.751,3.99,5.734
1.314,0.879,5.088,5.664,1.967,2.638,0.246,0.193,2.201,1.017,3.179,1.727,3.911,6.77
1.367,0.873,2.224,4.806,2.039,2.602,0.242,0.203,2.116,0.969,3.108,1.74,3.924,5.001
0.864,0.934,2.085,5.877,2.098,3.269,0.252,0.205,6.767,1.157,3.337,1.689,3.789,4.66
1.39,1.028,1.879,5.27,1.865,3.018,0.342,0.194,3.785,0.982,3.32,1.833,3.73,5.683
1.285,0.939,1.873,5.192,2.009,2.613,0.243,0.193,2.091,1.032,3.015,1.656,3.589,4.071
1.358,0.988,1.819,5.378,2.27,2.595,0.244,0.192,3.687,1.01,3.054,1.891,3.908,4.713
1.303,0.992,1.843,4.605,2.755,2.756,0.246,0.194,2.088,1.026,2.988,1.706,3.716,7.12
0.871,0.974,3.167,4.618,2.164,2.577,0.254,0.189,2.092,1.013,3.307,1.739,3.815,6.811
1.715,1.162,1.847,5.253,3.919,2.652,0.274,0.204,2.059,1.024,3.294,1.775,4.187,4.893
1.276,0.956,7.323,4.805,2.827,2.463,0.242,0.208,2.18,1.825,3.211,1.81,3.718,5.92
1.348,0.878,1.975,5.68,2.569,2.666,0.26,0.193,2.063,0.987,3.148,1.738,3.697,5.069
1.356,0.911,1.818,4.631,2.09,3.157,0.344,0.192,2.09,0.986,3.05,1.737,3.915,6.22
1.378,0.896,3.31,4.938,2.082,3.306,0.246,0.191,3.941,1.012,3.13,1.752,3.685,6.248
1.341,0.873,1.814,5.631,2.117,2.453,0.308,0.196,2.078,0.999,3.261,1.73,4.04,8.417
1.292,0.886,1.956,6.01,2.154,2.548,0.318,0.213,2.158,0.983,3.244,1.745,3.775,4.683
0.897,1.175,1.902,6.085,2.614,2.626,0.264,0.206,2.073,1.193,3.873,1.736,3.601,8.41
1.413,1.061,2.558,4.69,2.474,3.404,0.249,0.192,2.05,0.967,3.196,1.804,3.626,5.703
1.349,1.266,2.429,4.569,2.115,2.479,0.25,0.191,3.868,0.968,3.115,1.758,3.957,6.586
1.436,0.702,2.305,5.508,2.017,2.657,0.25,0.231,2.944,1.049,3.203,2.554,5.548,4.863
1.452,0.853,1.915,5.264,2.336,2.66,0.259,0.207,4.926,1.753,4.732,1.766,3.936,5.566
