native,quick,bucket,merge,bubble,insertion,selection,counting,counting2,heap,radix,gnome,shell,shaker,lodash
0.135,0.685,0.324,0.269,0.907,0.458,0.376,0.218,0.117,0.492,0.215,0.519,3.188,1.804,1.625
0.214,0.328,0.294,0.246,0.676,0.249,0.398,0.131,0.113,0.461,0.197,0.531,0.176,0.4,1.066
0.089,0.072,0.133,0.137,0.684,0.178,0.262,0.04,0.037,0.199,0.109,0.818,0.083,0.551,0.452
0.21,0.07,0.135,0.14,0.727,0.152,0.263,0.056,0.042,0.203,0.094,0.367,0.074,0.302,0.468
0.081,0.072,0.187,0.141,1.712,0.171,0.261,0.04,0.037,0.239,0.096,0.471,0.079,0.282,0.467
0.081,0.073,0.135,0.138,1.632,0.178,0.264,0.045,0.057,0.204,0.099,0.814,0.081,0.394,0.629
0.079,0.07,0.135,0.171,0.872,0.177,0.292,0.053,0.043,0.172,0.093,0.388,0.078,0.292,0.449
0.09,0.073,0.136,0.172,0.671,0.185,0.265,0.038,0.036,0.202,0.093,0.656,0.075,0.283,0.412
0.082,0.072,0.159,0.144,0.61,0.151,0.263,0.046,0.038,0.17,0.096,0.31,0.082,0.537,0.452
0.084,0.067,0.14,0.138,0.904,0.201,0.399,0.129,0.056,0.439,0.182,0.738,0.116,0.515,0.449
0.086,0.115,0.139,0.179,0.61,0.189,0.266,0.05,0.039,0.365,0.107,0.481,0.081,0.297,0.561
0.086,0.07,0.135,0.139,1.771,0.191,0.261,0.078,0.038,0.229,0.094,0.671,0.114,0.296,0.497
0.079,0.067,0.155,0.154,0.672,0.204,0.262,0.044,0.04,0.2,0.107,0.456,0.079,0.301,0.441
0.089,0.07,0.14,0.181,0.596,0.184,0.409,0.081,0.306,0.32,0.112,0.673,0.085,0.48,0.86
0.142,0.069,0.235,0.151,1.676,0.18,0.329,0.041,0.039,0.293,0.101,0.388,0.075,0.34,2.127
0.083,0.067,0.18,0.145,1.632,0.184,0.37,0.051,0.04,0.209,1.522,0.544,0.076,0.486,0.509
0.133,0.111,0.13,0.139,0.603,0.149,0.27,0.05,0.037,0.198,0.093,0.544,0.069,0.302,0.519
0.127,0.071,0.13,0.239,0.855,0.196,0.278,0.071,0.037,0.165,0.092,0.321,0.067,0.347,0.671
0.083,0.073,0.133,0.212,1,0.175,0.279,0.056,0.046,0.171,0.107,0.554,0.096,0.325,0.449
0.081,0.101,0.854,0.145,1.502,0.278,0.267,0.042,0.04,0.197,0.098,0.458,0.152,0.312,0.64
0.123,0.072,0.174,0.137,0.809,0.163,0.264,0.04,0.038,0.194,0.093,0.443,0.071,0.283,0.733
0.097,0.069,0.13,0.145,0.66,0.152,0.268,0.046,0.038,0.202,0.107,0.561,0.079,0.377,0.482
0.08,0.075,0.138,0.144,0.602,0.191,0.438,0.045,0.045,0.205,0.103,0.44,0.077,0.285,0.384
0.081,0.068,0.132,0.139,0.682,0.163,0.262,0.085,0.062,0.216,0.169,0.371,0.086,0.294,0.437
0.08,0.07,0.143,0.14,0.898,0.171,0.264,0.048,0.044,0.172,0.092,0.359,0.088,0.37,0.432
0.088,0.07,0.135,0.137,2.062,0.181,0.264,0.041,0.039,0.194,0.111,0.616,0.077,0.376,0.507
0.081,0.069,0.13,0.138,0.704,0.217,0.414,0.04,0.041,0.17,0.154,0.463,0.081,0.292,1.474
0.57,0.171,0.291,0.228,0.919,0.25,0.363,0.13,0.107,0.473,0.201,0.518,0.228,0.354,1.183
0.104,0.153,0.216,0.225,0.681,0.248,0.324,0.164,0.113,0.321,0.205,0.503,0.317,0.449,1.075
0.085,0.131,2.677,0.142,2.076,0.189,0.262,0.077,0.044,0.178,0.115,0.399,0.076,0.321,0.451
0.083,0.074,0.196,0.251,1.47,0.223,0.264,0.086,0.094,0.398,0.114,0.856,0.083,0.494,0.538
0.133,0.071,0.355,0.164,0.683,0.204,0.265,0.043,0.04,0.171,0.11,0.469,0.096,0.324,0.785
0.084,0.072,0.214,0.145,0.591,0.184,0.261,0.046,0.039,0.336,0.091,0.403,0.075,0.528,0.456
0.085,0.312,0.146,0.139,1.642,0.282,0.267,0.046,0.044,0.221,0.097,0.494,0.075,0.31,0.407
0.109,0.072,0.146,0.145,2.582,0.295,0.262,0.043,0.042,0.197,0.101,0.894,0.083,0.32,0.502
0.086,0.072,0.146,0.143,0.632,0.19,0.262,0.045,0.036,0.166,0.122,0.384,0.07,0.524,0.475
0.081,0.074,0.148,0.137,2.929,0.254,0.263,0.043,0.074,0.181,0.103,0.478,0.092,0.39,0.438
0.085,0.072,0.144,0.137,0.653,0.182,0.292,0.06,0.042,0.348,0.094,0.395,0.076,0.302,0.417
0.083,0.101,0.147,0.14,0.628,0.191,0.281,0.081,0.066,0.37,0.224,1.04,0.126,0.488,1.078
0.111,0.118,0.267,0.189,1.232,0.312,0.291,0.053,0.073,0.29,0.112,1.158,0.142,0.554,0.739
0.114,0.121,0.252,0.201,0.718,0.227,0.343,0.053,0.04,0.181,0.151,0.955,0.186,0.564,0.787
0.21,0.12,0.156,0.155,1.811,0.213,0.262,0.06,0.042,0.185,0.101,0.466,0.081,0.343,0.908
0.103,0.073,0.408,0.152,1.933,0.293,0.323,0.055,0.043,0.434,0.124,1.541,0.135,0.348,0.49
