native,quick,fastsort,counting,counting1,counting2,counting3,heap,radix,shell,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.055,0.143,0.307,0.195,0.093,0.098,0.156,0.325,0.15,0.142,0.994,0.375,1.053,0.206,0.785,1.832,0.39,0.233,0.413
0.033,0.079,0.114,0.029,0.034,0.031,0.026,0.259,0.112,0.071,0.525,0.605,0.31,0.135,2.785,1.377,0.226,0.185,0.197
0.032,0.07,0.129,0.065,0.047,0.051,0.03,0.276,0.096,0.07,0.49,0.349,0.389,0.124,0.135,0.631,0.291,0.16,0.189
0.038,0.076,0.148,0.04,0.032,0.033,0.03,0.255,0.124,0.089,0.585,0.443,0.31,0.149,0.15,0.79,0.368,0.178,0.24
0.029,0.065,0.106,0.035,0.036,0.042,0.037,0.302,0.109,0.068,0.554,0.287,0.358,0.175,0.144,0.655,0.962,0.222,0.483
0.032,0.073,0.115,0.035,0.033,0.034,0.029,0.248,0.09,0.079,0.573,0.383,0.347,0.135,0.254,0.782,11.084,0.381,0.219
0.031,0.068,0.111,0.03,0.033,0.034,0.031,1.243,0.091,0.08,0.63,0.289,0.332,0.125,0.151,0.597,0.429,0.237,0.204
0.03,0.077,0.114,0.057,0.036,0.03,0.027,0.221,0.087,0.075,0.494,3.099,0.693,0.184,0.138,0.666,0.528,0.178,0.201
2.566,0.073,0.113,0.038,0.044,0.036,0.03,0.265,0.091,0.081,0.462,0.35,0.3,0.132,0.142,0.695,2.105,0.175,0.188
0.035,0.066,0.188,0.032,0.035,0.055,0.026,0.335,0.089,0.069,0.524,0.584,0.329,0.155,0.151,1.178,0.246,0.194,0.224
0.029,0.063,0.104,0.058,0.045,0.058,0.043,0.22,0.083,0.075,1.04,1.634,0.302,0.125,0.164,0.9,0.477,0.183,0.241
0.031,0.466,1.153,0.033,0.029,0.028,0.026,0.827,0.114,0.45,0.71,0.287,0.296,0.127,0.142,0.558,1.101,0.184,0.244
0.043,0.077,0.152,0.043,0.058,0.038,0.039,0.236,0.082,0.082,0.559,0.402,1.594,0.134,0.155,1.146,0.338,0.179,0.359
0.038,0.064,0.104,0.032,2.365,0.038,0.033,0.236,0.094,0.069,0.735,0.471,0.352,0.141,0.179,1.906,0.188,1.042,0.195
0.03,0.116,0.158,0.029,0.028,0.027,0.026,0.282,0.109,0.069,0.492,0.656,0.287,0.167,0.172,0.738,0.278,0.21,0.215
0.03,0.07,0.498,0.039,2.045,0.038,0.03,0.879,0.132,0.234,0.664,0.307,1.528,0.136,0.166,0.637,0.248,0.176,0.276
0.031,0.109,0.161,0.033,0.028,0.029,0.029,0.238,0.084,0.094,1.069,0.422,0.408,0.207,0.154,0.675,0.2,9.787,0.203
0.031,0.07,0.121,0.037,0.044,0.056,0.031,0.234,0.099,0.077,0.508,0.305,0.316,0.132,0.156,0.956,0.211,0.248,0.235
0.033,0.064,0.543,0.034,0.036,0.036,0.029,0.243,0.114,0.067,0.586,0.29,0.298,0.174,0.161,0.56,0.392,0.179,0.189
0.029,0.07,0.153,0.038,0.034,0.032,0.029,0.241,0.085,0.076,0.48,0.426,0.291,0.127,0.145,1.728,0.197,0.205,0.198
0.033,0.092,0.106,0.032,0.03,0.031,0.033,0.219,0.1,0.072,0.436,0.301,0.3,0.125,0.15,0.515,0.215,0.166,0.192
0.029,0.064,0.114,0.035,0.028,0.032,0.029,0.221,0.083,0.067,0.478,0.283,0.404,0.139,0.155,0.708,0.244,0.185,0.207
0.032,0.067,0.11,0.037,0.04,0.037,0.035,0.217,0.087,0.066,0.417,0.286,0.338,0.136,0.146,0.693,0.281,0.169,0.231
0.029,0.065,0.131,0.037,0.036,0.034,0.032,0.255,0.103,0.071,0.511,0.318,0.298,0.135,0.162,0.765,0.505,0.182,0.253
0.029,0.066,0.123,0.029,0.032,0.03,0.028,0.254,0.09,0.074,0.5,0.283,0.291,0.134,0.166,0.722,0.349,0.184,0.265
0.03,0.063,0.103,0.035,0.034,0.035,0.032,0.234,0.082,0.085,0.539,0.284,0.324,0.126,0.143,0.639,0.231,0.204,0.224
0.03,0.065,0.214,0.031,0.031,0.03,0.028,0.222,0.084,0.074,0.504,0.285,0.297,0.202,0.152,0.506,0.221,10.74,0.216
0.03,0.063,0.104,0.031,0.029,0.031,0.029,0.285,0.081,0.067,0.458,0.283,0.28,0.19,0.142,0.688,0.312,0.17,0.201
0.031,0.065,0.104,0.029,0.027,0.027,0.025,0.217,0.081,0.071,0.569,0.31,0.304,0.141,0.143,0.81,0.758,0.184,0.212
0.03,0.064,0.102,0.028,0.032,0.033,0.035,0.219,0.083,0.14,0.476,0.29,0.287,0.136,0.181,0.585,0.191,0.179,0.206
0.032,0.073,0.113,0.034,0.035,0.035,0.269,0.401,0.085,0.072,0.491,0.298,0.305,0.136,0.146,0.568,0.207,0.205,0.213
0.03,0.082,0.107,0.033,0.03,0.028,0.041,0.219,0.109,0.077,0.526,0.283,0.356,0.128,0.149,0.605,0.215,0.194,0.212
0.029,0.074,0.104,0.028,0.028,0.027,0.025,0.295,0.469,0.08,0.542,0.336,0.288,0.123,0.153,0.524,0.204,0.187,0.216
0.03,0.062,0.104,0.031,0.029,0.03,0.025,0.218,0.081,0.217,0.611,0.309,0.333,0.135,0.15,0.674,0.519,0.179,0.207
0.03,0.064,0.114,0.029,0.029,0.03,0.027,0.289,0.084,0.069,0.418,0.283,0.292,0.129,0.145,0.7,0.313,0.16,0.28
0.031,0.064,0.105,0.03,0.032,0.029,0.03,0.223,0.088,0.073,0.719,0.333,1.729,0.997,0.145,0.59,0.197,0.19,0.323
0.029,0.063,0.103,0.268,0.034,0.041,0.028,0.221,0.083,0.071,0.533,0.283,0.288,0.191,0.144,0.545,0.198,0.184,0.214
0.029,0.063,0.104,0.029,0.038,0.03,0.028,0.249,0.096,0.076,0.51,0.306,1.358,0.186,0.147,0.723,0.324,0.183,0.196
0.029,0.063,0.103,0.028,0.062,0.034,0.029,0.218,0.087,0.067,0.434,0.282,0.289,0.179,0.141,0.691,0.294,0.17,0.196
0.03,0.063,0.103,0.029,0.029,0.034,0.032,0.215,0.098,0.08,0.575,1.133,0.307,0.132,0.151,0.525,0.194,0.179,0.196
0.025,0.063,0.108,0.025,0.028,0.024,0.025,0.221,0.081,0.065,0.603,0.331,0.295,0.172,0.137,0.53,0.22,0.203,0.244
0.027,0.059,0.113,0.025,0.024,0.024,0.023,0.226,0.08,0.066,0.469,0.285,0.286,0.126,0.144,0.563,0.193,0.176,0.202
0.039,0.064,0.102,0.027,0.026,0.025,0.022,0.216,0.078,0.083,0.485,0.29,0.455,0.123,0.138,0.773,0.316,0.956,0.33
0.024,0.061,0.1,0.026,0.024,0.029,0.025,0.217,0.079,0.064,0.73,0.287,0.311,0.126,0.139,0.552,0.185,0.176,0.191
0.027,0.114,0.103,0.025,0.028,0.055,0.025,0.236,0.079,0.067,0.46,0.297,0.328,0.121,0.158,0.569,0.282,0.172,0.193
0.024,0.059,0.101,0.028,0.029,0.028,0.026,0.272,0.08,0.064,0.516,0.29,0.378,0.166,0.138,0.64,0.21,0.19,0.219
0.025,0.06,0.113,0.028,0.025,0.024,0.023,0.215,0.081,0.067,0.505,0.286,0.296,0.173,0.141,0.575,0.197,0.189,0.237
0.025,0.061,0.106,0.025,0.025,0.024,0.022,0.21,0.079,0.069,0.556,0.289,0.289,0.173,0.169,0.572,0.221,0.202,0.901
0.024,0.061,0.099,0.029,0.03,0.034,0.031,0.216,0.08,0.08,0.657,0.293,0.287,0.231,0.139,0.795,0.311,0.163,0.189
0.025,0.06,0.099,0.025,0.024,0.025,0.023,0.217,0.08,0.072,0.552,0.286,1.147,0.135,0.139,0.58,0.259,0.22,0.229
0.044,0.061,0.101,0.024,0.025,0.024,0.022,0.214,0.079,0.066,0.579,0.285,0.4,0.17,0.138,0.601,0.224,0.207,0.23
0.024,0.061,0.102,0.026,0.027,0.024,0.022,0.238,0.079,0.068,0.45,0.288,0.29,0.139,0.147,0.669,0.338,0.174,0.19
0.024,0.06,0.099,0.026,0.029,0.027,0.024,0.215,0.128,0.135,0.747,0.288,0.294,0.266,0.146,0.687,0.315,0.172,0.238
0.026,0.06,0.101,0.026,0.024,0.027,0.103,0.211,0.079,0.066,0.548,0.286,0.303,0.128,0.138,0.536,0.205,0.189,0.218
0.024,0.075,0.102,0.027,0.029,0.027,0.025,0.216,0.081,0.064,0.494,0.285,0.287,0.182,0.14,0.586,0.204,0.223,0.213
0.025,0.06,0.226,0.028,0.025,0.024,0.022,0.324,0.089,0.063,0.479,0.282,0.285,0.194,0.135,0.545,0.188,0.23,0.193
