native,quick,counting,counting2,counting3,fastsort
34.038,18.734,12.474,22.294,15.818,34.06
30.911,16.598,11.65,17.899,15.806,35.305
31.7,16.788,11.312,16.168,19.605,34.474
30.695,16.704,11.414,16.668,16.836,34.521
30.895,18.213,11.577,17.995,16.264,33.622
36.173,16.515,12.365,15.075,16.174,35.645
63.593,16.356,11.516,17.363,16.378,34.595
36.23,15.786,11.813,16.767,21.98,34.215
35.022,16.024,11.504,17.389,16.469,34.878
34.684,16.403,10.854,16.394,14.977,33.377
31.561,17.016,14.124,16.303,20.176,33.737
37.611,17.436,13.303,19.325,16.109,35.064
35.352,14.707,12.299,17.122,26.242,33.554
35.047,17.407,11.22,18.941,17.344,33.545
30.838,16.484,12.278,17.206,17.294,33.63
31.227,16.268,11.168,15.735,15.819,36.668
30.816,14.523,11.659,19.071,15.725,36.406
34.788,17.158,12.492,17.996,15.899,33.829
48.784,26.411,17.038,27.253,19.902,42.861
30.835,16.23,17.998,18.879,18.092,41.6
