native,quick,countingObj,fastsort
39.048,28.562,29.24,53.016
38.615,23.687,22.399,51.671
40.333,23.254,22.987,54.217
34.826,24.947,22.47,53.098
42.818,27.497,21.337,55.312
36.311,21.648,20.543,54.412
36.574,21.716,20.957,52.753
36.931,24.311,28.932,54.225
37.928,22.502,20.878,53.489
36.245,22.041,24.04,56.854
40.555,23.472,21.411,52.727
42.503,26.404,20.411,54.243
38.522,24.255,22.819,52.426
37.44,23.706,23.97,53.17
40.788,23.474,22.476,57.215
35.839,22.033,21.799,57.686
43.944,22.604,21.686,54.272
36.102,22.656,20.329,56.832
55.069,43.982,36.703,79.843
37.301,22.076,72.878,32.454
