native,quick,bucket,merge,bubble,insertion,selection,counting,counting1,counting2,counting3,fastsort,heap,radix,gnome,shell,shaker,lodash
0.048,0.128,0.181,0.208,0.74,0.204,0.307,0.162,0.084,0.085,0.07,0.233,0.314,0.156,1.133,0.147,0.346,0.704
0.03,0.064,0.124,0.138,0.754,0.168,0.258,0.04,0.029,0.032,0.029,0.105,0.199,0.089,0.374,0.073,0.289,0.293
0.031,0.064,0.131,0.154,0.734,0.155,0.257,0.038,0.036,0.037,0.03,0.116,0.22,0.091,0.47,0.076,0.339,0.369
0.029,0.064,0.128,0.149,0.713,0.162,0.298,0.037,0.03,0.035,0.027,0.105,0.219,0.089,0.494,0.074,0.295,0.344
0.031,0.064,0.135,0.151,0.728,0.168,0.277,0.041,0.027,0.031,0.027,0.108,0.225,0.088,0.864,0.075,0.295,6.135
0.031,0.067,0.184,0.145,0.704,0.185,0.26,0.035,0.027,0.034,0.029,0.108,0.273,0.091,0.499,0.078,0.298,0.346
0.033,0.073,0.178,0.159,0.705,0.324,0.261,0.038,0.031,0.037,0.029,0.152,0.222,0.087,0.683,0.07,0.379,0.309
0.03,0.088,0.127,0.142,0.728,0.223,0.257,0.037,0.032,0.041,0.054,0.154,0.255,0.088,1.099,0.08,0.29,0.31
0.03,0.121,0.134,0.169,0.7,0.172,0.255,0.039,0.033,0.048,0.032,0.115,0.234,0.086,0.504,0.069,1.194,0.308
0.032,0.069,0.14,0.192,0.743,0.201,0.278,0.043,0.032,0.037,0.029,0.121,0.299,0.093,0.547,0.077,0.301,0.308
0.032,0.089,0.132,0.152,1.041,0.176,0.258,0.041,0.028,0.031,0.026,0.115,0.245,0.099,1.271,0.079,0.289,0.316
0.031,0.069,0.131,0.158,0.684,0.231,0.294,0.04,0.031,0.04,0.029,0.174,0.227,0.627,0.491,0.075,0.297,0.359
0.03,0.064,0.126,0.158,0.636,0.172,0.263,0.039,0.03,0.037,0.029,0.108,0.223,0.086,0.482,0.071,0.619,0.309
0.03,0.067,0.214,0.154,0.696,0.176,0.264,0.039,0.029,0.03,0.029,0.121,0.232,0.087,1.594,0.073,0.291,0.361
0.031,0.072,0.206,0.16,0.743,0.335,0.262,0.036,0.028,0.031,0.027,0.108,0.227,0.086,0.593,0.071,0.297,0.314
0.031,0.064,0.13,0.145,0.86,0.185,0.257,0.064,0.035,0.032,0.026,0.11,0.22,0.088,0.625,0.076,0.297,0.323
0.034,0.081,0.134,0.155,0.782,0.187,0.283,0.042,0.037,0.036,0.03,0.115,0.223,0.087,0.529,0.072,0.296,0.321
0.03,0.063,0.132,0.156,0.691,0.178,0.279,0.039,0.033,0.037,0.037,0.105,0.223,0.085,1.544,0.075,0.291,0.291
0.031,0.075,0.139,0.149,0.908,0.176,0.273,0.041,0.036,0.049,0.031,0.124,0.224,0.091,0.502,0.071,0.304,0.315
0.031,0.066,0.151,0.16,0.713,0.166,0.269,0.036,0.027,0.033,0.026,0.11,0.227,0.089,1.053,0.071,0.291,0.294
0.048,0.064,0.124,0.143,0.635,0.225,0.26,0.035,0.028,0.033,0.029,0.11,0.225,0.095,0.474,0.07,0.295,0.582
0.033,0.072,0.307,0.262,0.704,0.166,0.373,0.055,0.036,0.041,0.036,0.141,0.222,0.094,0.54,0.077,0.389,0.549
0.031,0.07,0.286,0.154,0.73,0.171,0.257,0.089,0.035,0.035,0.03,0.111,0.253,0.221,0.704,0.073,0.29,0.305
0.033,0.086,0.137,0.546,0.625,0.152,0.256,0.037,0.566,0.039,0.029,0.107,0.261,0.088,0.465,0.094,0.305,0.311
0.031,0.066,0.131,0.152,0.66,0.177,0.262,0.034,0.029,0.071,0.03,0.121,0.221,0.085,0.559,0.075,0.304,0.343
0.029,0.064,0.125,0.141,0.739,0.188,0.258,0.035,0.031,0.031,0.029,0.111,0.225,0.095,0.59,0.073,0.294,0.354
0.031,0.065,0.128,0.175,0.807,0.225,0.417,0.042,0.03,0.034,0.035,0.109,0.222,0.095,0.616,0.075,0.305,0.318
0.031,0.067,0.131,0.2,0.739,0.171,0.263,0.045,0.032,0.036,0.034,0.113,0.22,0.091,0.532,0.074,0.347,0.308
0.034,0.068,0.139,0.156,0.867,0.172,0.275,0.044,0.032,0.04,0.033,0.116,0.222,0.088,0.533,0.078,0.297,0.31
0.035,0.07,0.135,0.169,1.606,0.201,1.045,0.044,0.051,0.036,0.03,0.109,0.459,0.093,1.093,0.076,0.433,0.318
0.033,0.069,0.13,0.153,0.752,0.184,0.262,0.041,0.031,0.042,0.027,0.108,0.266,0.088,0.668,0.073,0.289,0.31
0.031,0.067,0.131,0.16,0.864,0.254,0.28,0.045,0.032,0.033,0.028,0.106,0.224,0.18,0.36,0.073,0.297,0.309
0.031,0.11,0.127,0.142,0.671,0.156,0.277,0.041,0.028,0.034,0.031,0.113,0.224,0.086,1.061,0.107,0.294,0.315
0.031,0.108,0.132,0.18,0.708,0.161,0.256,0.04,0.03,0.032,0.032,0.107,0.219,0.089,1.002,0.073,0.293,0.309
0.03,0.068,0.133,0.156,0.689,0.185,0.259,0.045,0.029,0.035,0.03,0.107,0.225,0.088,1.156,0.083,0.293,0.312
