native,quick,bucket,merge,bubble,insertion,selection,fastsort,countingObj,gnome,shaker,lodash
0.045,0.157,0.146,0.154,2.079,0.204,0.36,0.108,0.129,0.43,0.338,0.414
0.028,0.091,0.134,0.14,2.466,0.188,0.296,0.095,0.06,0.4,0.32,0.274
0.029,0.091,0.142,0.156,0.755,0.175,0.296,0.1,0.065,0.501,0.332,0.284
0.028,0.09,0.135,0.147,2.151,0.164,0.439,0.094,0.06,0.717,0.33,0.254
0.03,0.088,0.182,0.155,2.108,0.193,0.328,0.095,0.06,0.574,0.33,0.284
0.03,0.089,0.222,0.14,2.714,0.239,0.299,0.095,0.06,0.637,0.327,0.307
0.031,0.101,0.15,0.151,2.049,0.291,0.296,0.095,0.06,0.555,0.332,0.269
0.029,0.343,0.133,0.14,2.412,0.183,0.294,0.23,0.079,0.37,0.323,0.263
0.031,0.144,0.141,0.149,2.802,0.22,0.296,0.1,0.065,0.631,0.478,0.269
0.033,0.1,0.149,0.17,2.62,0.219,0.32,0.103,0.072,0.577,0.33,0.417
0.032,0.127,0.161,0.151,2.705,0.186,0.295,0.101,0.07,0.396,0.328,0.269
0.03,0.088,0.168,0.158,3.148,0.189,0.295,0.1,0.072,0.518,0.33,0.281
0.029,0.132,0.133,0.152,2.569,1.105,0.299,0.096,0.124,0.629,0.369,0.27
0.03,0.092,0.185,0.16,2.35,0.36,0.297,0.095,0.079,0.41,0.324,0.277
0.03,0.117,0.628,0.144,2.107,0.341,0.297,0.095,0.065,0.59,0.465,0.263
0.03,0.088,0.138,0.149,2.145,0.187,0.3,0.096,0.067,0.716,0.333,0.273
0.033,0.111,0.15,0.162,2.703,0.194,0.449,0.099,0.07,0.546,0.33,0.272
0.029,0.157,0.142,0.158,2.126,0.183,0.315,0.095,0.061,2.986,0.327,0.36
0.031,0.095,0.141,0.147,2.919,0.204,0.311,0.118,0.12,0.553,0.335,0.28
0.03,0.09,0.19,0.16,2.171,0.195,0.305,0.094,0.057,0.414,0.331,0.255
0.043,0.096,0.133,0.14,2.354,0.2,0.296,0.095,0.062,0.537,0.33,0.514
0.036,0.097,0.155,0.228,2.412,0.23,0.363,0.108,0.087,0.984,0.383,0.42
0.031,0.13,0.168,0.153,2.474,0.2,0.427,0.095,0.065,0.637,0.325,0.268
0.031,0.107,0.149,0.319,0.719,0.182,0.304,0.093,0.067,0.731,0.417,0.265
0.03,0.089,0.14,0.157,0.686,0.182,0.301,0.111,0.06,0.522,0.336,0.312
0.029,0.09,0.134,0.14,2.105,0.271,0.323,0.096,0.063,0.553,0.329,0.275
0.03,0.091,0.139,0.169,4.235,0.207,1.109,0.094,0.057,0.567,0.34,0.282
0.03,0.09,0.135,0.239,2.684,0.194,0.301,0.101,0.061,0.56,0.391,0.277
0.033,0.096,0.149,0.153,0.824,0.192,0.313,0.1,0.095,0.551,0.337,0.259
