native,quick,bucket,merge,bubble,insertion,selection,counting,counting2,counting3,fastsort,heap,radix,gnome,shell,shaker,lodash
0.156,0.38,0.759,1.901,12.549,2.035,2.619,0.201,0.152,0.133,0.796,1.642,0.567,6.528,0.492,4.711,1.881
0.149,0.365,0.626,0.904,3.262,1.834,2.022,0.189,0.163,0.138,0.804,1.179,0.611,2.221,0.548,3.6,1.822
0.142,0.307,0.615,0.837,4.806,1.851,2.005,0.127,0.101,0.089,0.642,1.123,0.478,2.35,0.398,3.349,1.432
0.136,0.303,0.516,0.738,3.469,1.973,2.251,0.15,0.097,0.085,0.703,1.327,0.588,2.323,0.372,3.105,1.516
0.137,0.306,0.519,0.744,2.918,1.954,2.025,0.115,0.081,0.098,0.692,1.305,0.479,2.162,0.4,3.222,1.68
0.191,0.31,0.518,0.747,3.087,1.946,2.15,0.693,0.096,0.137,0.645,1.327,0.484,2.293,0.407,3.283,3.532
0.143,0.313,0.576,0.71,3.093,1.849,1.985,0.122,0.087,0.082,0.718,1.18,0.481,2.253,0.663,3.085,1.52
0.137,0.346,0.518,0.719,3.178,1.934,2.684,0.109,0.082,0.086,0.643,1.188,0.477,2.351,0.372,3.256,1.427
0.136,0.307,0.514,1.019,2.822,2.271,2.256,0.12,0.086,0.082,0.692,1.162,1.162,2.616,0.365,3.317,1.495
0.137,0.307,0.515,0.938,3.011,2.029,2.197,0.116,0.117,0.09,0.641,1.137,0.482,2.307,0.892,3.65,1.448
0.136,0.297,0.524,0.717,3.099,2.265,2.994,0.114,0.081,0.086,0.647,1.329,0.485,2.355,0.361,3.166,1.495
0.136,0.298,0.515,4.839,3.054,2.331,2.473,0.119,0.092,0.097,0.658,1.195,0.493,2.834,0.387,3.175,1.528
0.138,0.298,0.564,0.902,3.04,2.449,2.605,0.118,0.082,0.086,0.695,1.167,0.483,2.261,0.42,2.966,1.495
0.137,0.301,0.52,0.712,3.461,2.379,2.813,0.12,0.095,0.081,0.643,1.18,0.587,2.303,0.422,3.182,1.426
0.136,0.305,0.612,0.713,3.182,2.385,2.06,0.121,0.083,0.083,0.733,1.224,0.481,2.305,0.387,2.995,1.417
0.182,0.324,0.52,0.71,3.208,1.851,2.19,0.122,0.089,0.087,0.692,1.137,0.523,2.299,0.422,3.255,1.537
0.136,0.309,0.516,0.902,2.991,1.988,2.452,0.116,0.08,0.087,0.652,1.17,0.483,2.393,0.367,3.002,1.52
0.137,0.301,0.515,0.744,3.093,2.138,2.618,0.118,0.086,0.083,0.69,1.292,0.494,2.4,0.368,2.989,1.512
0.161,0.317,0.579,0.708,2.935,2.083,2.038,0.116,0.087,0.086,0.824,1.157,0.481,2.482,0.363,3.046,1.489
