native,quick,fastsort,countingObj,countingObj2,countingObj3,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.087,0.164,0.111,0.144,0.188,0.186,0.421,0.29,0.413,0.167,0.176,0.619,0.265,0.159,0.192
0.096,0.169,0.202,0.147,0.135,0.138,0.63,0.313,0.424,0.13,0.196,0.957,0.203,0.177,0.198
0.076,0.142,0.097,0.051,0.045,0.046,0.419,0.368,0.301,0.123,0.164,2.076,0.179,0.157,0.332
0.075,0.082,0.097,0.058,0.046,0.053,0.695,0.287,0.308,0.224,0.162,2.298,0.258,0.183,0.257
0.074,0.101,0.103,0.051,0.083,0.079,0.566,0.396,0.633,0.118,0.159,1.191,0.273,0.231,0.168
0.075,0.086,0.119,0.06,0.06,0.057,1.8,0.608,0.777,0.361,0.276,2.174,0.469,0.23,0.411
0.075,0.081,0.104,0.051,0.059,0.046,0.521,0.646,0.334,0.118,0.177,1.538,0.173,0.175,0.219
0.075,0.08,0.094,0.051,0.045,0.044,0.93,0.274,0.278,0.115,0.249,0.925,0.211,0.174,0.174
0.075,0.079,0.181,0.054,0.045,0.045,0.767,0.481,2.922,0.234,0.162,4.912,0.256,0.286,0.613
0.076,0.08,0.09,0.055,0.045,0.041,0.592,0.3,0.32,0.117,0.171,3.43,0.219,0.214,0.166
0.076,0.084,0.089,0.056,0.045,0.047,0.606,0.379,0.298,0.116,0.226,1.198,0.197,0.261,0.175
0.141,0.132,0.179,0.08,0.086,0.078,0.569,0.699,2.906,1.978,0.265,3.421,0.29,0.239,0.147
0.077,0.078,0.095,0.061,0.047,0.045,0.534,0.827,0.275,0.117,0.161,0.774,0.189,1.541,0.338
0.07,0.08,0.099,0.05,0.047,0.053,0.623,0.3,0.273,0.117,0.162,1.114,0.191,0.161,0.16
0.079,0.085,0.096,0.05,0.045,0.043,0.599,0.398,0.363,0.117,0.16,0.926,0.201,0.17,0.353
0.093,0.088,0.095,0.195,0.048,0.047,0.663,0.543,0.297,0.118,0.16,0.929,0.347,0.172,0.18
0.212,0.08,0.099,0.088,0.047,0.052,0.577,0.372,0.349,0.117,0.17,1.977,0.278,0.178,0.252
0.107,0.083,0.097,0.051,0.062,0.053,1.505,0.48,0.404,0.119,0.16,1.009,0.966,0.236,0.163
0.15,0.101,0.122,0.064,0.185,0.095,0.478,0.427,0.283,0.152,0.242,2.308,0.364,0.302,0.169
